Timestamp,ToolID,WaferID,StepID,Temp_C,Pressure_mTorr,RF_Power_W,GasFlow_sccm,Bias_V,AnomalyFlag
2024-06-01T09:02:30,CVD-TOOL-07,WAF_031,STEP_4,301.98,50.3,1200.0,100.07,49.24,OUT_OF_RANGE:RF_Power
2024-06-01T09:02:35,CVD-TOOL-07,WAF_032,STEP_4,298.9,49.68,500.88,98.92,49.44,
2024-06-01T09:02:40,CVD-TOOL-07,WAF_033,STEP_4,298.28,50.26,497.29,101.62,50.72,
2024-06-01T09:02:45,CVD-TOOL-07,WAF_034,STEP_4,298.28,49.48,501.69,98.86,49.26,
2024-06-01T09:02:50,CVD-TOOL-07,WAF_035,STEP_4,301.74,50.14,499.73,101.14,50.61,
2024-06-01T09:02:55,CVD-TOOL-07,WAF_036,STEP_4,298.76,49.19,499.31,,49.93,MISSING_FIELD:GasFlow
2024-06-01T09:03:00,CVD-TOOL-07,WAF_037,STEP_4,300.92,50.35,504.84,98.39,49.81,
2024-06-01T09:03:05,CVD-TOOL-07,WAF_038,STEP_4,299.36,50.72,497.49,98.76,49.9,
2024-06-01T09:03:10,CVD-TOOL-07,WAF_039,STEP_4,299.69,49.56,497.5,101.69,49.89,
2024-06-01T09:03:15,CVD-TOOL-07,WAF_040,STEP_4,301.45,50.1,495.51,102.0,50.67,
2024-06-01T09:08:20,CVD-TOOL-07,WAF_041,STEP_5,301.88,50.85,503.49,98.67,49.97,TS_GAP:300s
2024-06-01T08:53:25,CVD-TOOL-07,WAF_042,STEP_5,298.85,49.8,495.59,99.52,50.97,TS_REVERSAL
2024-06-01T09:03:30,CVD-TOOL-07,WAF_043,STEP_5,299.06,50.57,499.55,99.69,50.91,
2024-06-01T09:03:35,CVD-TOOL-07,WAF_044,STEP_5,301.98,50.11,502.18,98.62,49.59,
2024-06-01T09:03:40,CVD-TOOL-07,WAF_045,STEP_5,301.87,50.16,500.42,100.99,49.11,
2024-06-01T09:03:45,CVD-TOOL-07,WAF_046,STEP_5,300.34,50.01,503.53,98.63,50.92,
2024-06-01T09:03:50,CVD-TOOL-07,WAF_047,STEP_5,298.32,49.37,500.95,100.7,49.47,
2024-06-01T09:03:55,CVD-TOOL-07,WAF_048,STEP_5,298.48,50.78,497.46,100.38,50.24,
2024-06-01T09:04:00,CVD-TOOL-07,WAF_049,STEP_5,299.68,50.17,500.23,101.74,49.41,
2024-06-01T09:04:05,CVD-TOOL-07,WAF_050,STEP_5,300.86,49.48,498.96,100.69,49.6,
2024-06-01T09:04:10,CVD-TOOL-07,WAF_051,STEP_6,ERR_ADC,50.5,495.73,99.83,51.0,CORRUPT:SensorReadError
2024-06-01T09:04:15,CVD-TOOL-07,WAF_052,STEP_6,301.98,49.15,497.13,99.06,50.87,
2024-06-01T09:04:20,CVD-TOOL-07,WAF_053,STEP_6,301.52,50.76,498.7,98.63,50.67,
2024-06-01T09:04:25,CVD-TOOL-07,WAF_054,STEP_6,300.81,50.22,504.87,100.62,49.02,
2024-06-01T09:04:30,CVD-TOOL-07,WAF_055,STEP_6,301.27,49.6,501.63,101.76,49.27,
2024-06-01T09:04:35,CVD-TOOL-07,WAF_056,STEP_6,298.46,49.21,500.53,99.09,50.21,
2024-06-01T09:04:40,CVD-TOOL-07,WAF_057,STEP_6,300.87,49.41,501.34,99.06,49.98,
2024-06-01T09:04:45,CVD-TOOL-07,WAF_058,STEP_6,301.62,50.69,495.92,99.69,49.55,
2024-06-01T09:04:50,CVD-TOOL-07,WAF_059,STEP_6,298.01,50.54,501.37,99.05,50.48,
2024-06-01T09:04:55,CVD-TOOL-07,WAF_060,STEP_6,300.21,49.86,495.1,98.3,50.77,
